	pka	sigma.m	sigma.p	meta	ortho	para	tpsa	 logp	 mr
H	4.2	0	0	0	0	0	37.3	1.3848	33.4013
O-CH3	3.91	-0.07	-0.17	0	1	0	37.3	1.6932	38.3673
O-Ph	3.46	0.06	-0.01	0	1	0	37.3	3.0518	58.8373
O-OCH3	4.09	0.12	-0.27	0	1	0	46.53	1.3934	39.8933
O-F	3.27	0.34	0.06	0	1	0	37.3	1.5239	33.3593
O-I	2.85	0.34	0.18	0	1	0	37.3	1.9894	46.1183
O-CO2H	2.95	0.37	0.45	0	1	0	74.6	1.083	40.3606
O-Cl	2.94	0.37	0.23	0	1	0	37.3	2.0382	38.4113
O-Br	2.85	0.39	0.23	0	1	0	37.3	2.1473	41.1013
O-NO2	2.17	0.71	0.78	0	1	0	86.96	1.7076	40.6428
M-NH2	4.79	-0.16	-0.66	1	0	0	63.32	1.5482	37.8057
M-CH3	4.24	-0.07	-0.17	1	0	0	37.3	1.6932	38.3673
M-OH	4.08	0.12	-0.37	1	0	0	57.53	1.0904	35.4243
M-OCH3	4.09	0.12	-0.27	1	0	0	46.53	1.3934	39.8933
M-F	3.87	0.34	0.06	1	0	0	37.3	1.5239	33.3593
M-I	3.86	0.34	0.18	1	0	0	37.3	1.9894	46.1183
M-CO2H	3.54	0.37	0.45	1	0	0	74.6	1.083	40.3606
M-Cl	3.83	0.37	0.23	1	0	0	37.3	2.0382	38.4113
M-Br	3.81	0.39	0.23	1	0	0	37.3	2.1473	41.1013
M-CF3	3.79	0.43	0.54	1	0	0	37.3	2.4036	38.4033
M-CN	3.6	0.56	0.66	1	0	0	61.09	1.25648	38.1163
M-NO2	3.45	0.71	0.78	1	0	0	86.96	1.7076	40.6428
p-NH2	4.92	-0.16	-0.66	0	0	1	63.32	1.5482	37.8057
p-CH3	4.34	-0.07	-0.17	0	0	1	37.3	1.6932	38.3673
p-OH	4.58	0.12	-0.37	0	0	1	57.53	1.0904	35.4243
p-OCH3	4.47	0.12	-0.27	0	0	1	46.53	1.3934	39.8933
p-F	4.14	0.34	0.06	0	0	1	37.3	1.5239	33.3593
p-I	4	0.34	0.18	0	0	1	37.3	1.989	46.11829
p-CO2H	3.51	0.37	0.45	0	0	1	74.6	1.083	40.3606
p-Cl	3.99	0.37	0.23	0	0	1	37.3	2.0382	38.4113
p-Br	4	0.39	0.23	0	0	1	37.3	2.1473	41.1013
p-CN	3.55	0.56	0.66	0	0	1	61.09	1.25648	38.1163
p-NO2	3.44	0.71	0.78	0	0	1	86.96	1.7076	40.6428
